fila_csv,motivo,ficha,establecimiento
250234,FICHA_NO_EXISTE,24733,2
250483,FICHA_NO_EXISTE,91672,3
250895,FICHA_NO_EXISTE,129302,3
251547,FICHA_NO_EXISTE,128503,3
251616,FICHA_NO_EXISTE,24733,2
251625,FICHA_NO_EXISTE,129818,2
251803,FICHA_NO_EXISTE,733,3
252326,FICHA_NO_EXISTE,191049,2
253207,FICHA_NO_EXISTE,129302,3
254212,FICHA_NO_EXISTE,26536,3
256268,FICHA_NO_EXISTE,130312,3
256949,FICHA_NO_EXISTE,160618,2
256959,FICHA_NO_EXISTE,163620,2
257219,FICHA_NO_EXISTE,129818,2
257349,FICHA_NO_EXISTE,6669,3
257933,FICHA_NO_EXISTE,178311,2
259326,FICHA_NO_EXISTE,112814,1
259918,FICHA_NO_EXISTE,175940,2
260633,FICHA_NO_EXISTE,112814,1
261461,FICHA_NO_EXISTE,104693,3
261713,FICHA_NO_EXISTE,193928,2
262399,FICHA_NO_EXISTE,24733,2
262761,FICHA_NO_EXISTE,117897,1
262892,FICHA_NO_EXISTE,130545,3
263243,FICHA_NO_EXISTE,200174,2
263607,FICHA_NO_EXISTE,120230,3
263671,FICHA_NO_EXISTE,29488,2
264417,FICHA_NO_EXISTE,113860,1
264553,FICHA_NO_EXISTE,144224,2
265131,FICHA_NO_EXISTE,71913,1
265186,FICHA_NO_EXISTE,112814,1
265804,FICHA_NO_EXISTE,120230,3
266626,FICHA_NO_EXISTE,733,3
266633,FICHA_NO_EXISTE,26536,3
266798,FICHA_NO_EXISTE,130687,3
266957,FICHA_NO_EXISTE,70964,2
267346,FICHA_NO_EXISTE,170983,2
267489,FICHA_NO_EXISTE,193928,2
268918,FICHA_NO_EXISTE,102769,1
269127,FICHA_NO_EXISTE,170983,2
269678,FICHA_NO_EXISTE,95026,3
269763,FICHA_NO_EXISTE,175940,2
270795,FICHA_NO_EXISTE,112814,1
271065,FICHA_NO_EXISTE,114855,3
271584,FICHA_NO_EXISTE,193928,2
271642,FICHA_NO_EXISTE,17298,3
271647,FICHA_NO_EXISTE,104693,3
272784,FICHA_NO_EXISTE,24733,2
273855,FICHA_NO_EXISTE,622,3
274003,FICHA_NO_EXISTE,144224,2
274022,FICHA_NO_EXISTE,18089,3
274432,FICHA_NO_EXISTE,29488,2
274900,FICHA_NO_EXISTE,109310,3
275710,FICHA_NO_EXISTE,115006,1
276260,FICHA_NO_EXISTE,102769,1
277348,FICHA_NO_EXISTE,55856,3
278463,FICHA_NO_EXISTE,102769,1
279192,FICHA_NO_EXISTE,200605,2
280342,FICHA_NO_EXISTE,111338,3
280562,FICHA_NO_EXISTE,197538,2
280991,FICHA_NO_EXISTE,8470,3
281301,FICHA_NO_EXISTE,120230,3
281590,FICHA_NO_EXISTE,128827,3
281811,FICHA_NO_EXISTE,160618,2
282007,FICHA_NO_EXISTE,130687,3
282805,FICHA_NO_EXISTE,112814,1
283757,FICHA_NO_EXISTE,733,3
284475,FICHA_NO_EXISTE,29488,2
284922,FICHA_NO_EXISTE,120230,3
285007,FICHA_NO_EXISTE,194904,2
285092,FICHA_NO_EXISTE,160618,2
285928,FICHA_NO_EXISTE,110968,1
286139,FICHA_NO_EXISTE,194904,2
286350,FICHA_NO_EXISTE,99403,2
286983,FICHA_NO_EXISTE,190791,2
288629,FICHA_NO_EXISTE,128827,3
289041,FICHA_NO_EXISTE,36274,2
291088,FICHA_NO_EXISTE,172896,2
291318,FICHA_NO_EXISTE,11125,2
291645,FICHA_NO_EXISTE,44644,2
291729,FICHA_NO_EXISTE,184188,2
292283,FICHA_NO_EXISTE,79762,3
292308,FICHA_NO_EXISTE,200679,2
295109,FICHA_NO_EXISTE,195286,2
296027,FICHA_NO_EXISTE,44644,2
296441,FICHA_NO_EXISTE,119976,3
296443,FICHA_NO_EXISTE,110564,3
296656,FICHA_NO_EXISTE,121340,3
297229,FICHA_NO_EXISTE,200960,2
298732,FICHA_NO_EXISTE,197036,2
299156,FICHA_NO_EXISTE,11125,2
299611,FICHA_NO_EXISTE,197538,2
301444,FICHA_NO_EXISTE,26536,3
302227,FICHA_NO_EXISTE,200755,2
303489,FICHA_NO_EXISTE,113860,1
304295,FICHA_NO_EXISTE,187134,2
304764,FICHA_NO_EXISTE,166809,2
305682,FICHA_NO_EXISTE,178311,2
306244,FICHA_NO_EXISTE,29488,2
306879,FICHA_NO_EXISTE,188639,2
306897,FICHA_NO_EXISTE,99403,2
307865,FICHA_NO_EXISTE,44644,2
308017,FICHA_NO_EXISTE,201956,2
308437,FICHA_NO_EXISTE,121340,3
309767,FICHA_NO_EXISTE,195286,2
310064,FICHA_NO_EXISTE,24733,2
311676,FICHA_NO_EXISTE,119814,3
311702,FICHA_NO_EXISTE,112307,1
312820,FICHA_NO_EXISTE,195286,2
313004,FICHA_NO_EXISTE,194854,2
313151,FICHA_NO_EXISTE,114855,3
313667,FICHA_NO_EXISTE,200499,2
313962,FICHA_NO_EXISTE,29488,2
